method,score,reason,address_score,name_score,owner_score,city_score,dc_excel_row,dc_owner,dc_name,dc_country,dc_city,dc_address,dc_lat,dc_long,451_excel_row,451_owner,451_name,451_country,451_city,451_address,451_lat,451_long
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.93",1.0,1.0,1.0,1.0,50,NEXTDC,M1,Australia,Melbourne,"826 Lorimer Street, Port Melbourne, 3207, Australia ",-37.822678,144.932103,15770,NEXTDC Limited,M1,Australia,Port Melbourne,826 Lorimer Street,-37.8224,144.932106
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.93",0.7586,1.0,1.0,1.0,50,NEXTDC,M1,Australia,Melbourne,"826 Lorimer Street, Port Melbourne, 3207, Australia ",-37.822678,144.932103,15771,NEXTDC Limited,M1,Australia,Port Melbourne,826-830 Lorimer St,-37.822634,144.932106
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.92",0.875,0.6667,1.0,1.0,52,Equinix,ME2,Australia,Melbourne,"Unit B, 578 Lorimer Street, Port Melbourne, AU, VIC 3207",-37.82211784,144.9154161,16059,"Equinix, Inc.",ME1,Australia,Port Melbourne,600 Lorimer Street,-37.82311,144.915362
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.92",0.875,0.2857,1.0,1.0,52,Equinix,ME2,Australia,Melbourne,"Unit B, 578 Lorimer Street, Port Melbourne, AU, VIC 3207",-37.82211784,144.9154161,16060,"Equinix, Inc.",ME1 - Equinix,Australia,Port Melbourne,600 Lorimer Street,-37.82295,144.915362
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.92",0.875,1.0,1.0,1.0,52,Equinix,ME2,Australia,Melbourne,"Unit B, 578 Lorimer Street, Port Melbourne, AU, VIC 3207",-37.82211784,144.9154161,16061,"Equinix, Inc.",ME2,Australia,Port Melbourne,601 Lorimer Street,-37.821222,144.916899
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.92",0.875,0.2353,1.0,1.0,52,Equinix,ME2,Australia,Melbourne,"Unit B, 578 Lorimer Street, Port Melbourne, AU, VIC 3207",-37.82211784,144.9154161,18500,"Equinix, Inc.",Port Melbourne,Australia,Port Melbourne,600 Lorimer Street,-37.82295,144.915362
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 145.31",0.5833,1.0,1.0,1.0,55,Micron21,Kilsyth,Australia,Kilsyth South,"2/7 Eastspur Court, Kilsyth South, Victoria 3137, Australia",-37.8215206,145.3148011,14885,"Micron21 Pty, Ltd.",Kilsyth,Australia,Kilsyth,2 East Spur Court,-37.822278,145.313356
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 145.19",0.7097,0.8889,1.0,0.125,56,Vocus,28 Thornton Cres,Australia,Melbourne,"28 Thornton Cres, Mitcham VIC 3132, Australia",-37.8213136,145.1875522,20954,Vocus Group Limited,Thornton Crescent 28,Australia,Mitcham,28 Thornton Crescent,-37.821414,145.18776
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.75",0.7368,1.0,1.0,0.2222,57,STACK Infrastructure,MEL01,Australia,Melbourne,"399 Palmers Rd, Truganina VIC 3029, Australia",-37.82091224,144.7477713,16121,"Stack Infrastructure, Inc.",MEL01,Australia,Truganina,Palmers Road,-37.8203,144.74817
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.75",0.7368,0.8,1.0,0.2222,57,STACK Infrastructure,MEL01,Australia,Melbourne,"399 Palmers Rd, Truganina VIC 3029, Australia",-37.82091224,144.7477713,16122,"Stack Infrastructure, Inc.",MEL02,Australia,Truganina,Palmers Road,-37.82014,144.74758
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 145.01",0.7586,1.0,0.7857,0.3529,58,TPG Telecom Group,Richmond,Australia,Melbourne,"180 Burnley St, Richmond VIC 3121, Australia",-37.82022857,145.0075643,19065,TPG Telecom Limited,Richmond,Australia,Richmond,180 Burnley Street,-37.820173,145.007747
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.96",0.2632,0.1053,0.2308,1.0,60,Vocus,530 Collins St,Australia,Melbourne,"530 Collins St, Melbourne VIC 3000, Australia",-37.81754438,144.9567055,16081,Telstra Group Limited,MEDS1,Australia,Melbourne,"1/1 Southbank Boulevard, Southbank",-37.820963,144.962948
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.96",0.5789,0.1111,0.1667,1.0,60,Vocus,530 Collins St,Australia,Melbourne,"530 Collins St, Melbourne VIC 3000, Australia",-37.81754438,144.9567055,16123,5G Networks Limited,MEL1,Australia,Melbourne,"530 Collins Street, Level 15",-37.818547,144.957293
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.96",0.5946,0.1111,1.0,1.0,60,Vocus,530 Collins St,Australia,Melbourne,"530 Collins St, Melbourne VIC 3000, Australia",-37.81754438,144.9567055,16131,Vocus Group Limited,MEL2,Australia,Melbourne,"530 Collins Street, Level 3",-37.818062,144.958152
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.96",0.1786,0.1739,0.1538,0.3333,60,Vocus,530 Collins St,Australia,Melbourne,"530 Collins St, Melbourne VIC 3000, Australia",-37.81754438,144.9567055,16134,Datacom Australia Holdings Pty Limited,Melbourne,Australia,Southbank,190 City Road,-37.824409,144.961523
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.96",0.5946,0.1739,0.2105,1.0,60,Vocus,530 Collins St,Australia,Melbourne,"530 Collins St, Melbourne VIC 3000, Australia",-37.81754438,144.9567055,16135,530 Collins St Pty Ltd,Melbourne,Australia,Melbourne,"530 Collins Street, Level 5",-37.817525,144.956796
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.96",0.5789,0.1739,0.2105,1.0,60,Vocus,530 Collins St,Australia,Melbourne,"530 Collins St, Melbourne VIC 3000, Australia",-37.81754438,144.9567055,16136,530 Collins St Pty Ltd,Melbourne,Australia,Melbourne,"530 Collins Street, Level 15",-37.817525,144.956796
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.96",0.3333,0.1739,0.0952,1.0,60,Vocus,530 Collins St,Australia,Melbourne,"530 Collins St, Melbourne VIC 3000, Australia",-37.81754438,144.9567055,16137,Ip Exchange Gmbh,Melbourne,Australia,Melbourne,517 Flinders Lane,-37.819843,144.956633
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.96",0.3871,0.24,0.0833,1.0,60,Vocus,530 Collins St,Australia,Melbourne,"530 Collins St, Melbourne VIC 3000, Australia",-37.81754438,144.9567055,16140,TPG Telecom Limited,Melbourne 2,Australia,Melbourne,376 Flinders Street,-37.81887,144.96153
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.96",0.4571,0.24,0.2727,1.0,60,Vocus,530 Collins St,Australia,Melbourne,"530 Collins St, Melbourne VIC 3000, Australia",-37.81754438,144.9567055,16142,Servers Australia Pty. Ltd.,Melbourne DC-2,Australia,Melbourne,"525 Collins Street, Level M1",-37.818547,144.957293
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.96",0.3333,0.1818,1.0,1.0,60,Vocus,530 Collins St,Australia,Melbourne,"530 Collins St, Melbourne VIC 3000, Australia",-37.81754438,144.9567055,18574,Vocus Group Limited,Primus Imagineering Data Centre,Australia,Melbourne,55 King St.,-37.819227,144.956747
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.96",0.3509,0.1818,1.0,1.0,60,Vocus,530 Collins St,Australia,Melbourne,"530 Collins St, Melbourne VIC 3000, Australia",-37.81754438,144.9567055,18575,Vocus Group Limited,Primus Imagineering Data Centre,Australia,Melbourne,55 King Street,-37.81925,144.95661
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.96",0.274,0.2857,0.3125,1.0,61,5G Networks,Melbourne Data Centre,Australia,Melbourne,"Level 15, 530 Collins St, Melbourne VIC 3000, Australia",-37.81752361,144.9567246,16081,Telstra Group Limited,MEDS1,Australia,Melbourne,"1/1 Southbank Boulevard, Southbank",-37.820963,144.962948
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.96",0.8511,0.4615,1.0,1.0,61,5G Networks,Melbourne Data Centre,Australia,Melbourne,"Level 15, 530 Collins St, Melbourne VIC 3000, Australia",-37.81752361,144.9567246,16123,5G Networks Limited,MEL1,Australia,Melbourne,"530 Collins Street, Level 15",-37.818547,144.957293
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.96",0.7907,0.4615,0.3333,1.0,61,5G Networks,Melbourne Data Centre,Australia,Melbourne,"Level 15, 530 Collins St, Melbourne VIC 3000, Australia",-37.81752361,144.9567246,16131,Vocus Group Limited,MEL2,Australia,Melbourne,"530 Collins Street, Level 3",-37.818062,144.958152
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.96",0.1846,1.0,0.1333,0.3333,61,5G Networks,Melbourne Data Centre,Australia,Melbourne,"Level 15, 530 Collins St, Melbourne VIC 3000, Australia",-37.81752361,144.9567246,16134,Datacom Australia Holdings Pty Limited,Melbourne,Australia,Southbank,190 City Road,-37.824409,144.961523
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.96",0.7907,1.0,0.32,1.0,61,5G Networks,Melbourne Data Centre,Australia,Melbourne,"Level 15, 530 Collins St, Melbourne VIC 3000, Australia",-37.81752361,144.9567246,16135,530 Collins St Pty Ltd,Melbourne,Australia,Melbourne,"530 Collins Street, Level 5",-37.817525,144.956796
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.96",0.8511,1.0,0.32,1.0,61,5G Networks,Melbourne Data Centre,Australia,Melbourne,"Level 15, 530 Collins St, Melbourne VIC 3000, Australia",-37.81752361,144.9567246,16136,530 Collins St Pty Ltd,Melbourne,Australia,Melbourne,"530 Collins Street, Level 15",-37.817525,144.956796
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.96",0.2899,1.0,0.1481,1.0,61,5G Networks,Melbourne Data Centre,Australia,Melbourne,"Level 15, 530 Collins St, Melbourne VIC 3000, Australia",-37.81752361,144.9567246,16137,Ip Exchange Gmbh,Melbourne,Australia,Melbourne,517 Flinders Lane,-37.819843,144.956633
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.96",0.3099,1.0,0.2667,1.0,61,5G Networks,Melbourne Data Centre,Australia,Melbourne,"Level 15, 530 Collins St, Melbourne VIC 3000, Australia",-37.81752361,144.9567246,16140,TPG Telecom Limited,Melbourne 2,Australia,Melbourne,376 Flinders Street,-37.81887,144.96153
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.96",0.65,1.0,0.2857,1.0,61,5G Networks,Melbourne Data Centre,Australia,Melbourne,"Level 15, 530 Collins St, Melbourne VIC 3000, Australia",-37.81752361,144.9567246,16142,Servers Australia Pty. Ltd.,Melbourne DC-2,Australia,Melbourne,"525 Collins Street, Level M1",-37.818547,144.957293
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.96",0.3333,0.2857,0.3333,1.0,61,5G Networks,Melbourne Data Centre,Australia,Melbourne,"Level 15, 530 Collins St, Melbourne VIC 3000, Australia",-37.81752361,144.9567246,18574,Vocus Group Limited,Primus Imagineering Data Centre,Australia,Melbourne,55 King St.,-37.819227,144.956747
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.96",0.303,0.2857,0.3333,1.0,61,5G Networks,Melbourne Data Centre,Australia,Melbourne,"Level 15, 530 Collins St, Melbourne VIC 3000, Australia",-37.81752361,144.9567246,18575,Vocus Group Limited,Primus Imagineering Data Centre,Australia,Melbourne,55 King Street,-37.81925,144.95661
01_lat_long_2dp,1.0,"Rounded lat/long key -37.81, 144.95",0.2571,0.25,0.4286,1.0,64,Verizon,Melbourne CBD,Australia,Melbourne,"330-340 Spencer St, West Melbourne VIC 3003, Australia",-37.81264822,144.9515909,16063,"Equinix, Inc.",ME5,Australia,West Melbourne,22-36 Walsh Street,-37.80794,144.95345
01_lat_long_2dp,1.0,"Rounded lat/long key -37.81, 144.95",0.2727,0.25,0.4286,1.0,64,Verizon,Melbourne CBD,Australia,Melbourne,"330-340 Spencer St, West Melbourne VIC 3003, Australia",-37.81264822,144.9515909,16064,"Equinix, Inc.",ME5,Australia,West Melbourne,22-36 Walsh St,-37.807942,144.953544
01_lat_long_2dp,1.0,"Rounded lat/long key -37.81, 144.95",0.7586,0.3529,1.0,1.0,64,Verizon,Melbourne CBD,Australia,Melbourne,"330-340 Spencer St, West Melbourne VIC 3003, Australia",-37.81264822,144.9515909,16124,Verizon Communications Inc.,MEL1,Australia,Melbourne,330 Spencer Street,-37.812582,144.95159
01_lat_long_2dp,1.0,"Rounded lat/long key -37.81, 144.95",1.0,0.3,1.0,1.0,64,Verizon,Melbourne CBD,Australia,Melbourne,"330-340 Spencer St, West Melbourne VIC 3003, Australia",-37.81264822,144.9515909,21621,Verizon Communications Inc.,Verizon,Australia,Melbourne,330-340 Spencer St,-37.812582,144.95159
01_lat_long_2dp,1.0,"Rounded lat/long key -37.81, 144.95",0.7586,1.0,1.0,1.0,67,Equinix,ME5,Australia,Melbourne,"22-36 Walsh St, West Melbourne VIC 3003, Australia",-37.80790908,144.9534536,16063,"Equinix, Inc.",ME5,Australia,West Melbourne,22-36 Walsh Street,-37.80794,144.95345
01_lat_long_2dp,1.0,"Rounded lat/long key -37.81, 144.95",1.0,1.0,1.0,1.0,67,Equinix,ME5,Australia,Melbourne,"22-36 Walsh St, West Melbourne VIC 3003, Australia",-37.80790908,144.9534536,16064,"Equinix, Inc.",ME5,Australia,West Melbourne,22-36 Walsh St,-37.807942,144.953544
01_lat_long_2dp,1.0,"Rounded lat/long key -37.81, 144.95",0.303,0.5714,0.2759,1.0,67,Equinix,ME5,Australia,Melbourne,"22-36 Walsh St, West Melbourne VIC 3003, Australia",-37.80790908,144.9534536,16124,Verizon Communications Inc.,MEL1,Australia,Melbourne,330 Spencer Street,-37.812582,144.95159
01_lat_long_2dp,1.0,"Rounded lat/long key -37.81, 144.95",0.2727,0.2,0.2759,1.0,67,Equinix,ME5,Australia,Melbourne,"22-36 Walsh St, West Melbourne VIC 3003, Australia",-37.80790908,144.9534536,21621,Verizon Communications Inc.,Verizon,Australia,Melbourne,330-340 Spencer St,-37.812582,144.95159
01_lat_long_2dp,1.0,"Rounded lat/long key -37.80, 144.87",0.6957,1.0,1.0,1.0,69,NEXTDC,M3,Australia,West Footscray,25 Indwe St West Footscray VIC 3012 Australia,-37.8038942,144.8653699,15781,NEXTDC Limited,M3,Australia,West Footscray,25 Indwe Street,-37.80405,144.86566
01_lat_long_2dp,1.0,"Rounded lat/long key -37.80, 144.94",0.7742,0.0714,0.1667,1.0,70,TPG Telecom Group,Dryburgh,Australia,Melbourne,"221 Dryburgh St, North Melbourne VIC 3051, Australia",-37.8011295,144.9434437,21217,"Equinix, Inc.",TPG Telecom-Victoria,Australia,Melbourne,221 Dryburgh Street,-37.801134,144.94355
01_lat_long_2dp,1.0,"Rounded lat/long key -37.80, 144.77",0.75,1.0,1.0,0.2353,71,AirTrunk,MEL1,Australia,Melbourne,"176 Swann Dr, Derrimut VIC 3030, Australia",-37.80054572,144.7725182,16126,AirTrunk Pte Ltd.,MEL1,Australia,Derrimut,176 Swann Drive,-37.800397,144.773648
01_lat_long_2dp,1.0,"Rounded lat/long key -37.80, 144.77",0.75,0.4,1.0,0.2353,71,AirTrunk,MEL1,Australia,Melbourne,"176 Swann Dr, Derrimut VIC 3030, Australia",-37.80054572,144.7725182,16141,AirTrunk Pte Ltd.,Melbourne 2,Australia,Derrimut,176 Swann Drive,-37.800393,144.771454
01_lat_long_2dp,1.0,"Rounded lat/long key -37.79, 175.28",0.5714,0.6667,1.0,1.0,73,Spark,Waikato (Hamilton),New Zealand,Hamilton,"7 Caro Street, Hamilton Central, Hamilton 3204, New Zealand",-37.78881643,175.2813602,20263,Spark New Zealand Limited,Spark Hamilton Exchange,New Zealand,Hamilton,Anglesea Street,-37.78704,175.27964
01_lat_long_2dp,1.0,"Rounded lat/long key -37.79, 144.79",0.7,1.0,1.0,0.2353,74,Equinix,ME4,Australia,Melbourne,"2 Davis Ct, Derrimut VIC 3026, Australia",-37.7884318,144.7856878,16062,"Equinix, Inc.",ME4,Australia,Derrimut,2 Davis Court,-37.78827,144.785067
01_lat_long_2dp,1.0,"Rounded lat/long key -37.78, 144.78",1.0,0.56,1.0,0.2222,76,Digital Realty,Digital Deer Park 1 - MEL10,Australia,Melbourne,"98 Radnor Drive, Deer Park, VIC 3023",-37.78189342,144.779331,8379,"Digital Realty Trust, Inc.","98 Radnor Drive, Deer Park",Australia,Deer Park,98 Radnor Drive,-37.781862,144.77932
01_lat_long_2dp,1.0,"Rounded lat/long key -37.78, 144.78",1.0,0.9444,1.0,0.2222,76,Digital Realty,Digital Deer Park 1 - MEL10,Australia,Melbourne,"98 Radnor Drive, Deer Park, VIC 3023",-37.78189342,144.779331,11919,"Digital Realty Trust, Inc.",Digital Deer Park 3,Australia,Deer Park,Radnor Drive,-37.78186,144.78021
01_lat_long_2dp,1.0,"Rounded lat/long key -37.78, 144.78",0.8889,0.35,1.0,0.2222,76,Digital Realty,Digital Deer Park 1 - MEL10,Australia,Melbourne,"98 Radnor Drive, Deer Park, VIC 3023",-37.78189342,144.779331,16144,"Digital Realty Trust, Inc.",Melbourne MEL11,Australia,Deer Park,72 Radnor Drive,-37.78185,144.77766
01_lat_long_2dp,1.0,"Rounded lat/long key -37.78, 144.78",0.5714,0.56,1.0,0.4706,77,Digital Realty,Digital Deer Park 2 - MEL11,Australia,Derrimut,"72 Radnor Dr, Deer Park VIC 3023, Australia",-37.78167436,144.777776,8379,"Digital Realty Trust, Inc.","98 Radnor Drive, Deer Park",Australia,Deer Park,98 Radnor Drive,-37.781862,144.77932
01_lat_long_2dp,1.0,"Rounded lat/long key -37.78, 144.78",0.6667,0.9444,1.0,0.4706,77,Digital Realty,Digital Deer Park 2 - MEL11,Australia,Derrimut,"72 Radnor Dr, Deer Park VIC 3023, Australia",-37.78167436,144.777776,11919,"Digital Realty Trust, Inc.",Digital Deer Park 3,Australia,Deer Park,Radnor Drive,-37.78186,144.78021
01_lat_long_2dp,1.0,"Rounded lat/long key -37.78, 144.78",0.75,0.5,1.0,0.4706,77,Digital Realty,Digital Deer Park 2 - MEL11,Australia,Derrimut,"72 Radnor Dr, Deer Park VIC 3023, Australia",-37.78167436,144.777776,16144,"Digital Realty Trust, Inc.",Melbourne MEL11,Australia,Deer Park,72 Radnor Drive,-37.78185,144.77766
01_lat_long_2dp,1.0,"Rounded lat/long key -37.78, 144.78",0.8889,0.0667,1.0,0.2222,78,Digital Realty,MEL12,Australia,Melbourne,"54 Radnor Drive, Deer Park, Melbourne, VIC, 3023, Australia",-37.78145487,144.7768362,8379,"Digital Realty Trust, Inc.","98 Radnor Drive, Deer Park",Australia,Deer Park,98 Radnor Drive,-37.781862,144.77932
01_lat_long_2dp,1.0,"Rounded lat/long key -37.78, 144.78",1.0,0.1667,1.0,0.2222,78,Digital Realty,MEL12,Australia,Melbourne,"54 Radnor Drive, Deer Park, Melbourne, VIC, 3023, Australia",-37.78145487,144.7768362,11919,"Digital Realty Trust, Inc.",Digital Deer Park 3,Australia,Deer Park,Radnor Drive,-37.78186,144.78021
01_lat_long_2dp,1.0,"Rounded lat/long key -37.78, 144.78",0.8889,0.4,1.0,0.2222,78,Digital Realty,MEL12,Australia,Melbourne,"54 Radnor Drive, Deer Park, Melbourne, VIC, 3023, Australia",-37.78145487,144.7768362,16144,"Digital Realty Trust, Inc.",Melbourne MEL11,Australia,Deer Park,72 Radnor Drive,-37.78185,144.77766
